#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
33,32,128,3,3,64,128,0.2,1e-05,0.001,0.3084370677731671,0.6002766251728907,0.7641325536062379,0.5925925925925926,0.4858229598893499,0.7074688796680498,0.831384015594542,0.7291666666666666,"[241, 171, 144, 105]",0.3773217938365693,0.6538237011091652,0.5155727474728673
56,64,128,4,3,64,64,0.0,0.0001,0.001,0.2987551867219917,0.5540123456790123,0.7527233115468408,0.623015873015873,0.434820193637621,0.7083333333333334,0.818082788671024,0.7341269841269841,"[216, 153, 126, 94]",0.3541688873937351,0.6740230205142486,0.5140959539539918
86,64,128,3,3,64,64,0.2,0.0001,0.001,0.2876901798063623,0.5931586608442504,0.7181818181818181,0.6174242424242424,0.4649031811894882,0.7183406113537117,0.7868686868686869,0.7222222222222222,"[229, 165, 132, 97]",0.3554325263033808,0.6657241595978637,0.5105783429506222
92,128,64,4,3,128,64,0.2,0.0001,0.001,0.2468879668049793,0.5891089108910891,0.6666666666666665,0.6144781144781144,0.4145919778699861,0.6831683168316832,0.7053140096618357,0.7777777777777778,"[202, 138, 99, 77]",0.3094811000514063,0.6865511218594651,0.4980161109554357
32,32,128,4,3,128,64,0.0,1e-05,0.001,0.3271092669432918,0.5850480109739369,0.7065868263473053,0.5438596491228069,0.4884163208852006,0.6872427983539094,0.785429141716567,0.6616541353383458,"[243, 167, 133, 89]",0.3918099127050241,0.5970018601597549,0.4944058864323895
59,128,64,3,3,64,128,0.2,0.0001,0.001,0.2939142461964039,0.5610119047619048,0.7164502164502164,0.5630252100840336,0.4529737206085753,0.6808035714285714,0.7662337662337663,0.7058823529411765,"[224, 154, 119, 84]",0.3565070949234158,0.6264121542656799,0.49145962459454784
55,128,64,4,3,64,64,0.0,0.0001,0.001,0.289764868603043,0.5912518853695324,0.6811111111111111,0.5555555555555557,0.4457123098201936,0.6764705882352942,0.7444444444444445,0.7134502923976609,"[221, 150, 114, 82]",0.3512053743576139,0.6246799795186894,0.48794267693815163
86,64,64,3,3,64,64,0.2,0.0001,0.001,0.26417704011065,0.5776699029126212,0.6725352112676056,0.5637254901960784,0.4189142461964038,0.6868932038834952,0.7089201877934272,0.6748366013071895,"[206, 142, 102, 70]",0.3240197257342976,0.6142971700553572,0.4691584478948274
78,32,128,3,3,128,128,0.2,0.0001,0.001,0.2316735822959889,0.5857371794871794,0.6909975669099757,0.5792079207920792,0.4178769017980636,0.65625,0.7274939172749392,0.6419141914191419,"[208, 137, 101, 66]",0.29808626479074,0.6089510302381589,0.4535186475144495
122,32,64,4,3,128,64,0.2,0.0001,0.001,0.2302904564315353,0.5680628272251309,0.5940860215053764,0.4819277108433735,0.3896957123098201,0.6492146596858639,0.6599462365591398,0.6024096385542169,"[191, 124, 83, 50]",0.2895006630210153,0.535475234270415,0.41248794864571514
53,32,64,2,3,128,64,0.1,0.0001,0.001,0.1867219917012448,0.2592592592592592,0.4791666666666667,0.391304347826087,0.1843015214384508,0.5277777777777778,0.4791666666666667,0.6521739130434783,"[90, 48, 23, 15]",0.1855038612800809,0.4891304347826087,0.3373171480313448
