#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
90,128,64,2,3,128,128,0.1,0.0001,0.0001,0.33593073593073564,0.7144927536231884,0.761904761904762,0.6118721461187213,0.5547247990105133,0.7478260869565218,0.783047619047619,0.7363013698630136,"[230, 175, 146, 111]",0.1038961038961039,0.23974644403215833,0.13841475984333124
124,64,128,3,3,128,64,0.2,0.0001,0.0001,0.2701298701298701,0.6426282051282051,0.8069544364508393,0.5494350282485877,0.5049845392702536,0.6588942307692308,0.8099520383693045,0.5889830508474576,"[208, 139, 118, 73]",0.06580086580086575,0.16279529993815708,0.09045763760049473
36,64,128,3,4,128,128,0.1,0.0001,0.001,0.4441558441558443,0.6515151515151517,0.7700421940928273,0.5200945626477541,0.5328571428571429,0.7071969696969697,0.8429324894514768,0.723404255319149,"[220, 158, 141, 107]",0.09870129870129868,0.22928880643166358,0.13196042053184906
31,64,64,4,2,64,64,0.0,0.0001,0.001,0.5333333333333332,0.7254901960784313,0.6917922948073704,0.4901380670611439,0.5797217068645639,0.8221479500891267,0.8023450586264657,0.742603550295858,"[238, 199, 169, 131]",0.12121212121212134,0.28874458874458875,0.16364667078952785
25,128,128,3,4,32,128,0.0,0.0001,0.001,0.49696969696969706,0.683743169398907,0.7544802867383514,0.5351405622489958,0.6028014842300555,0.7443802781917537,0.8486559139784946,0.7359437751004015,"[244, 186, 166, 128]",0.12294372294372306,0.2863017934446506,0.1644176458462172
42,128,64,4,4,32,128,0.2,1e-05,0.001,0.5160173160173163,0.7183006535947714,0.7165032679738563,0.6502732240437156,0.6221273964131108,0.7885620915032681,0.8623366013071895,0.7979963570127504,"[255, 204, 183, 155]",0.14718614718614745,0.34013605442176875,0.19651824366110082
97,128,64,2,2,32,128,0.0,0.0001,0.0001,0.466233766233766,0.7423638778220453,0.8035426731078905,0.6119791666666666,0.6117625231910946,0.8082337317397078,0.8814814814814813,0.7569444444444443,"[251, 207, 192, 150]",0.14761904761904782,0.3349598021026593,0.19547103689960826
83,64,64,4,3,32,128,0.2,0.0001,0.0001,0.3307359307359306,0.6969696969696969,0.7620545073375262,0.5124378109452736,0.5298330241187383,0.7145454545454545,0.8066037735849056,0.6293532338308458,"[220, 159, 134, 89]",0.08225108225108216,0.18888064316635747,0.1092743764172335
41,128,128,3,2,128,64,0.1,0.0001,0.001,0.5255411255411258,0.6941015089163237,0.7419627749576989,0.5058479532163743,0.5869511440940013,0.7929168225464522,0.833248730964467,0.7173489278752437,"[243, 197, 171, 127]",0.12294372294372304,0.2846320346320346,0.16430220573077708
53,128,64,4,2,128,64,0.2,0.0001,0.001,0.5151515151515151,0.6459227467811156,0.6694756554307115,0.49884259259259256,0.564025974025974,0.7534334763948498,0.7606741573033706,0.7037037037037037,"[233, 178, 144, 105]",0.09956709956709955,0.22864564007421148,0.1323788909503195
114,64,64,2,2,64,64,0.1,0.0001,0.0001,0.4450216450216449,0.7079831932773109,0.7204301075268819,0.5812757201646089,0.5804638218923934,0.7664565826330532,0.821326164874552,0.7520576131687242,"[238, 186, 162, 127]",0.1186147186147187,0.26626468769325917,0.1556153370439084
