#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
17,128,128,3,3,4,0.0,0.0001,0.001,0.4995670995670994,0.7174211248285319,0.8294392523364484,0.6551724137931034,0.5936507936507937,0.8576474622770919,0.9134401424121048,0.8238916256157636,"[243, 214, 203, 173]",0.1705627705627708,0.3927004741290456,0.2271407957122242,0.5425604666364962,0.7299089838927332,0.6362347252646147
17,128,256,3,4,2,0.0,0.0001,0.001,0.5112554112554112,0.7551282051282051,0.7953869047619048,0.6293650793650793,0.6374603174603175,0.8412499999999999,0.9061968537414964,0.7988095238095239,"[260, 224, 210, 174]",0.1714285714285716,0.3909585652442795,0.2280560709132137,0.56742504453481,0.7040355125100888,0.6357302785224495
18,128,256,3,4,2,0.1,0.0001,0.0001,0.5220779220779218,0.7589641434262948,0.7830188679245284,0.6085470085470084,0.6108740465883324,0.8291168658698539,0.8894878706199462,0.8346153846153846,"[251, 212, 195, 173]",0.1645021645021648,0.3741290455576169,0.2174376417233559,0.5629962464686216,0.7038746270016627,0.6334354367351421
23,128,256,3,4,2,0.1,0.0001,0.001,0.4909090909090905,0.74421768707483,0.8035426731078905,0.6460481099656357,0.6031746031746031,0.8218027210884353,0.907694962042788,0.8131443298969072,"[245, 207, 194, 165]",0.1636363636363638,0.3686889301175015,0.2164770150484435,0.541281983645476,0.7200288914718566,0.6306554375586663
22,64,256,4,3,4,0.1,1e-05,0.001,0.5393939393939391,0.7425997425997422,0.7854938271604938,0.5858585858585859,0.6316532673675531,0.819980694980695,0.88288139329806,0.8055555555555556,"[259, 216, 198, 168]",0.1662337662337665,0.3733250876108018,0.2187074829931972,0.5818893418629368,0.6783625730994152,0.630125957481176
16,128,128,3,3,2,0.0,0.0001,0.001,0.4965367965367963,0.7346666666666665,0.8223787167449139,0.6287878787878787,0.6134343434343434,0.8290333333333333,0.8974625530963559,0.8122895622895622,"[250, 213, 198, 167]",0.1658008658008661,0.3726571840857556,0.2186951144094,0.5488299881066483,0.7088554941942792,0.6288427411504638
23,128,256,4,4,2,0.1,0.0001,0.001,0.5246753246753249,0.7800751879699247,0.8199152542372882,0.5923423423423421,0.6482271696557411,0.8722117794486216,0.9058817594834544,0.7834084084084084,"[266, 236, 222, 181]",0.1740259740259742,0.4038012780869924,0.2328056070913213,0.5799438612268702,0.6746076226294506,0.6272757419281605
13,128,256,3,4,4,0.0,0.0001,0.001,0.4935064935064935,0.7407407407407407,0.8111620795107033,0.6243781094527361,0.635827664399093,0.8121647509578543,0.8764198339886411,0.7922885572139303,"[261, 218, 201, 163]",0.1610389610389613,0.3665244279529993,0.2130839002267573,0.5556992656875834,0.6983825385801457,0.6270409021338645
18,128,128,3,3,4,0.0,0.0001,0.0001,0.5437229437229437,0.745580808080808,0.8129548762736534,0.5751173708920188,0.6475468975468976,0.8397411616161616,0.9045539613225204,0.7687793427230047,"[264, 229, 213, 170]",0.168831168831169,0.3821995464852608,0.2231148216862502,0.5911105832370444,0.6579945466100826,0.6245525649235635
18,128,256,4,3,4,0.1,1e-05,0.0001,0.5705627705627704,0.7516087516087515,0.8103975535168194,0.5495934959349592,0.6343434343434343,0.819980694980695,0.9128986456968108,0.7739837398373984,"[259, 218, 205, 167]",0.1670995670995674,0.3722242836528551,0.219136260564832,0.6007650154236979,0.642767823255628,0.6217664193396629
