#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
21,64,256,3,4,2,0.0,1e-05,0.0001,0.5108225108225106,0.6952191235059763,0.8299492385786801,0.542372881355932,0.6150865800865801,0.7818725099601593,0.8650592216582064,0.7955743879472693,"[251, 197, 177, 148]",0.15064935064935087,0.33512987012987017,0.19841494724611597
24,64,128,3,3,2,0.0,0.0001,0.0001,0.5125541125541125,0.7090277777777777,0.7982905982905982,0.5596590909090908,0.5849350649350649,0.8010416666666667,0.8692307692307693,0.7979166666666667,"[240, 195, 176, 148]",0.14285714285714307,0.3204978354978355,0.1882129270440959
25,64,128,4,3,4,0.1,1e-05,0.0001,0.4761904761904762,0.6891472868217053,0.7654690618762476,0.518763796909492,0.5216017316017316,0.7724806201550387,0.874251497005988,0.7374172185430463,"[215, 167, 151, 119]",0.11774891774891783,0.2604545454545455,0.15399523996926587
16,128,256,4,4,2,0.1,1e-05,0.0001,0.4961038961038963,0.7172364672364672,0.8385689354275742,0.5777153558052432,0.5743290043290044,0.8087606837606838,0.9000872600349041,0.8280898876404494,"[234, 191, 178, 153]",0.1549783549783552,0.3535281385281386,0.20573714885403196
21,64,128,4,4,2,0.1,0.0001,0.001,0.509090909090909,0.7217795484727756,0.8580542264752788,0.6119658119658117,0.6164718614718615,0.8260292164674634,0.9078947368421053,0.8146153846153846,"[251, 209, 195, 166]",0.1722943722943725,0.38261904761904764,0.2262710593879425
24,128,256,4,4,4,0.1,1e-05,0.001,0.46839826839826837,0.708333333333333,0.8154761904761904,0.5838041431261769,0.580995670995671,0.8142655367231639,0.8639455782312924,0.7551789077212808,"[236, 196, 177, 141]",0.14025974025974045,0.31707792207792207,0.185970090515545
19,128,128,4,4,2,0.0,0.0001,0.001,0.5116883116883117,0.6808785529715762,0.8957345971563979,0.6403940886699507,0.6347835497835498,0.8052325581395349,0.9391785150078988,0.8182266009852216,"[258, 211, 203, 173]",0.17662337662337688,0.39413419913419917,0.23264912576600885
14,128,128,3,4,4,0.0,1e-05,0.001,0.4813852813852816,0.7043010752688169,0.8374384236453205,0.6209677419354838,0.6115367965367966,0.8131720430107526,0.8903940886699507,0.7911290322580647,"[248, 203, 186, 154]",0.1575757575757578,0.3547402597402598,0.20837784149472452
15,128,256,3,4,2,0.0,0.0001,0.0001,0.4883116883116885,0.7197875166002655,0.858784893267652,0.636284722222222,0.6172510822510822,0.793824701195219,0.916256157635468,0.8555555555555556,"[251, 203, 192, 172]",0.1722943722943725,0.38564935064935063,0.22722344034032346
21,128,256,3,4,2,0.1,0.0001,0.001,0.5064935064935067,0.7283197831978321,0.8325242718446602,0.5573192239858903,0.6069264069264069,0.8296070460704607,0.8762135922330098,0.7601410934744269,"[246, 206, 189, 148]",0.15151515151515182,0.3404545454545455,0.2007340567080827
15,128,128,4,3,2,0.1,1e-05,0.001,0.4103896103896105,0.7026604068857588,0.8070707070707068,0.42792792792792783,0.5219264069264069,0.7609546165884195,0.8732323232323232,0.6268018018018018,"[213, 165, 148, 97]",0.10476190476190485,0.21900432900432903,0.1341826427540713
16,64,128,3,4,4,0.0,1e-05,0.001,0.46666666666666673,0.7446236559139784,0.8693910256410258,0.637901861252115,0.6183333333333333,0.8296370967741935,0.921875,0.8189509306260574,"[248, 208, 197, 168]",0.17316017316017335,0.38997835497835504,0.22914469369014825
15,128,256,4,3,2,0.1,0.0001,0.001,0.4744588744588744,0.6612021857923496,0.8104395604395604,0.5656565656565654,0.5976623376623376,0.7339480874316939,0.8873626373626373,0.7252525252525253,"[244, 182, 165, 125]",0.13160173160173175,0.29246753246753243,0.17332714904143467
14,64,128,3,4,2,0.0,0.0001,0.001,0.5008658008658007,0.6833333333333333,0.8276422764227643,0.6243386243386241,0.6372943722943722,0.7782051282051281,0.889430894308943,0.8112874779541447,"[260, 205, 189, 158]",0.1549783549783553,0.36264069264069265,0.20841269841269847
18,128,128,3,3,4,0.0,1e-05,0.0001,0.5168831168831168,0.7300000000000001,0.8691056910569105,0.537800687285223,0.6184632034632035,0.8133333333333334,0.9211382113821137,0.7723367697594502,"[250, 205, 194, 158]",0.15757575757575784,0.35872294372294367,0.20937351249039557
12,64,128,4,4,4,0.0,0.0001,0.001,0.4658008658008659,0.7330623306233063,0.8473597359735973,0.5802469135802468,0.6057792207792208,0.8130081300813008,0.8985148514851485,0.7544973544973547,"[246, 202, 189, 149]",0.15151515151515174,0.3352380952380952,0.19929911358482785
