#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
51,64,64,3,4,32,64,0.1,0.0001,0.001,0.4204702627939141,0.7121749408983452,0.7446483180428137,0.5182291666666666,0.5765905947441218,0.7730496453900709,0.8692660550458715,0.7005208333333334,"[282, 218, 192, 135]",0.09405255878284934,0.27143845089903185,0.13886583679114797
24,64,64,3,2,32,64,0.2,0.0001,0.001,0.48132780082987553,0.719869706840391,0.7338709677419356,0.5086477987421381,0.6294951590594743,0.8061889250814332,0.842741935483871,0.7311320754716981,"[307, 248, 212, 156]",0.10857538035961294,0.31396957123098196,0.16044260027662519
35,64,64,4,2,64,64,0.2,1e-05,0.001,0.5020746887966803,0.694535519125683,0.7286501377410467,0.47698412698412673,0.6251728907330568,0.7885245901639344,0.8574380165289256,0.6833333333333333,"[305, 242, 210, 146]",0.1009681881051177,0.28976486860304285,0.148686030428769
16,64,64,3,2,64,128,0.1,0.0001,0.001,0.5145228215767631,0.7361546499477535,0.7480916030534351,0.5663780663780663,0.6536998616874137,0.8197492163009404,0.8740458015267175,0.816017316017316,"[319, 262, 231, 190]",0.13208852005532543,0.3824343015214384,0.1952973720608576
33,64,128,3,2,64,64,0.2,1e-05,0.001,0.5138312586445366,0.7255838641188961,0.7590439276485789,0.5268115942028984,0.6422890733056708,0.8174097664543525,0.875968992248062,0.7369565217391304,"[314, 258, 230, 171]",0.12033195020746917,0.34336099585062246,0.17676348547717843
33,128,64,3,2,64,64,0.2,0.0001,0.001,0.5186721991701242,0.6853582554517134,0.7314439946018892,0.5218068535825544,0.6562932226832643,0.7663551401869159,0.854251012145749,0.7593457943925234,"[321, 247, 214, 163]",0.11376210235131423,0.3295297372060857,0.16825726141078837
96,128,64,3,3,128,64,0.1,1e-05,0.001,0.49308437067773175,0.6088664421997755,0.7147435897435899,0.4677716390423573,0.6056362378976488,0.696969696969697,0.8581730769230769,0.6657458563535912,"[297, 208, 181, 123]",0.08506224066390045,0.2455048409405256,0.1255878284923928
37,128,128,3,3,32,64,0.2,1e-05,0.001,0.46127247579529734,0.7525773195876286,0.7033898305084748,0.5083752093802344,0.595954356846473,0.8064146620847652,0.8305084745762712,0.7110552763819096,"[291, 236, 199, 143]",0.09958506224066405,0.28388658367911473,0.14612724757952975
37,64,128,4,2,128,128,0.1,1e-05,0.001,0.5207468879668049,0.7404994571118348,0.704216073781291,0.5152905198776756,0.6260373443983402,0.8241042345276873,0.849802371541502,0.768348623853211,"[307, 253, 218, 169]",0.11687413554633497,0.3419778699861687,0.1735131396957123
34,64,128,2,2,128,64,0.2,1e-05,0.001,0.5262793914246193,0.7106625258799172,0.7166666666666666,0.5568011958146485,0.6543914246196404,0.8004658385093167,0.8442307692307692,0.7780269058295964,"[322, 260, 223, 175]",0.121023513139696,0.3482019363762102,0.17849239280774554
28,64,128,4,4,32,128,0.2,0.0001,0.001,0.4370677731673582,0.7263157894736842,0.7817109144542772,0.4713541666666666,0.5836791147994467,0.7929824561403509,0.838495575221239,0.7005208333333334,"[285, 226, 192, 136]",0.09474412171507617,0.2683264177040111,0.138865836791148
76,128,128,4,3,64,64,0.2,1e-05,0.001,0.4889349930843706,0.6472602739726026,0.7428355957767724,0.5458553791887123,0.5942254495159058,0.7551369863013698,0.8484162895927602,0.7619047619047619,"[292, 221, 189, 146]",0.1009681881051177,0.29322268326417705,0.14944674965421853
18,64,64,4,2,32,128,0.1,0.0001,0.001,0.510027662517289,0.7531249999999997,0.7582070707070708,0.5843621399176953,0.6526625172890734,0.821875,0.9109848484848485,0.8045267489711934,"[320, 264, 243, 197]",0.13658367911479977,0.39591977869986167,0.2020746887966805
42,128,64,2,3,32,64,0.2,0.0001,0.001,0.4605809128630708,0.7236699239956568,0.7108843537414963,0.5500782472613457,0.6284578146611342,0.7947882736156353,0.8571428571428571,0.6901408450704225,"[307, 245, 213, 148]",0.10304287690179824,0.29771784232365145,0.15207468879668049
21,128,128,3,2,128,128,0.2,0.0001,0.001,0.5214384508990314,0.6904761904761907,0.7378129117259552,0.5319634703196344,0.6533540802213001,0.7841614906832298,0.8537549407114624,0.771689497716895,"[322, 253, 219, 170]",0.11894882434301549,0.3440525587828492,0.17579529737206087
38,128,64,2,2,128,64,0.2,0.0001,0.001,0.49999999999999994,0.6736334405144695,0.7534153005464481,0.4984126984126983,0.6348547717842322,0.7829581993569131,0.8504098360655737,0.7285714285714285,"[311, 244, 210, 154]",0.10788381742738608,0.30982019363762103,0.15899031811894884
