DB Accession Number,ATC Codes,DB SMILES,Neutralized SMILES
DB12235,G03AA,[H][C@@]12[C@@H](O)[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O
DB12243; CHEMBL290916; D01552,N07XX,CC1=NN(C(=O)C1)C1=CC=CC=C1,CC1=NN(c2ccccc2)C(=O)C1
DB12245,P02BX,CSC1=NC2=C(N1)C=C(Cl)C(OC1=CC=CC(Cl)=C1Cl)=C2,CSc1nc2cc(Oc3cccc(Cl)c3Cl)c(Cl)cc2[nH]1
DB12265; CHEMBL1631694,P01CA,CSC1=CC=C(OCC2=NC=C(N2C)[N+]([O-])=O)C=C1,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1
DB12267; CHEMBL3545311,L01ED,COC1=CC(=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1)N1CCC(CC1)N1CCN(C)CC1,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
DB12278; CHEMBL1078261,G04BD,CCCOC(C(=O)OC1CCN(C)CC1)(C1=CC=CC=C1)C1=CC=CC=C1,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
DB12293; CHEMBL465026,N02BG,CN1CCOC(C2=CC=CC=C2)C2=CC=CC=C2C1,CN1CCOC(c2ccccc2)c2ccccc2C1
DB12301; CHEMBL2364608,J05AG; J05AR,CN1C(=O)NN=C1CN1C=CC(=C(OC2=CC(=CC(Cl)=C2)C#N)C1=O)C(F)(F)F,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O
DB12313; CHEMBL77622,C01CA,OC1=C(O)C=C(CCNCCCCCCNCCC2=CC=CC=C2)C=C1,Oc1ccc(CCNCCCCCCNCCc2ccccc2)cc1O
DB12329; CHEMBL1951095,J01AA,[H][C@@]12CC3=C(F)C=C(NC(=O)CN4CCCC4)C(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12
DB12332; CHEMBL1173055,L01XK,CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
DB12343; CHEMBL1276310,J01CA; J01CR,CO[C@]1(NC(=O)C(C(O)=O)C2=CSC=C2)[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,CO[C@@]1(NC(=O)C(C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]21
DB12364; CHEMBL512351,B01AF,COC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=N)N(C)C)C(=C1)C(=O)NC1=CC=C(Cl)C=N1,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1
DB12371; CHEMBL2336071,L04AA; L04AE,CCC1=CC(=CC=C1CN1CC(C1)C(O)=O)C(\C)=N\OCC1=CC=C(C2CCCCC2)C(=C1)C(F)(F)F,CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1
DB12377,J01DH,OS(=O)(=O)ON1[C@H]2C[N@]([C@@H](CC2)C(=O)NC2CCNCC2)C1=O,O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O
DB12401; CHEMBL28218,N05AD,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
DB12404; CHEMBL4297526,N05CD,COC(=O)CC[C@@H]1N=C(C2=CC=CC=N2)C2=CC(Br)=CC=C2N2C(C)=CN=C12,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21
DB12455; CHEMBL1689772,J01AA,[H][C@@]12CC3=C(C=C(CNCC(C)(C)C)C(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2)N(C)C,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O
DB12457; CHEMBL2178422,N02CD,N[C@H]1[C@@H](CC[C@@H](OC(=O)N2CCC(CC2)N2C(=O)NC3=NC=CC=C23)C2=C1C=CC=N2)C1=C(F)C(F)=CC=C1,N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F
DB12466; CHEMBL221722; D09537,J05AX,NC(=O)C1=NC(F)=CN=C1O,NC(=O)c1nc(F)cnc1O
DB12471; CHEMBL4297513,J02AX,[H][C@]12CC[C@@]3([H])[C@@]4(C)COC[C@@]3(C[C@H]([C@@H]4OC[C@](C)(N)C(C)(C)C)N3N=CN=C3C3=CC=NC=C3)C1=CC[C@@]1(C)[C@H](C(O)=O)[C@](C)(CC[C@]21C)[C@H](C)C(C)C,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O
DB12473; CHEMBL2105420,B05CA,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1
DB12474; CHEMBL2107431,G03AA; G03AB; G03AC; G03DC; G03FA; G03FB,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
DB12483; CHEMBL3218576,L01EM,COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21
DB12492; CHEMBL559288,N02AC,NC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1,N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1
DB12499; CHEMBL3590187,D10AX,[H][C@@]12CC[C@](OC(=O)CC)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,CCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
DB12500; CHEMBL1287853,G01AE; L01EJ,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(=C1)S(=O)(=O)NC(C)(C)C,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
DB12523; CHEMBL94454,R06AX,CN(C1CCN(CC1)C1=NC2=C(C=CC=C2)N1CC1=CC=C(F)C=C1)C1=NC=CC(=O)N1,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
DB12532; CHEMBL127592,C05AD,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC1=CC=CC=C1)C(C)(C)CC1=CC=CC=C1,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1
DB12543,N05AH,NC(=O)C1=CC=C2C[C@H]3N(CC4CC4)CC[C@@]4(CC(=O)CC[C@@]34O)C2=C1O,NC(=O)c1ccc2c(c1O)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)CCC(=O)C3
DB12554; CHEMBL282121,A03AA,CCN(CCCCOC(=O)C1=CC(OC)=C(OC)C=C1)C(C)CC1=CC=C(OC)C=C1,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
DB12597,L01EA,O[C@@H]1CCN(C1)C1=C(C=C(C=N1)C(=O)NC1=CC=C(OC(F)(F)Cl)C=C1)C1=CC=NN1,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1
DB12612; CHEMBL3707247,L04AA; L04AE,CC(C)OC1=C(C=C(C=C1)C1=NC(=NO1)C1=C2CC[C@H](NCCO)C2=CC=C1)C#N,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N
DB12615; CHEMBL1650559,J01GB,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@@H](C[C@H](N)[C@@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H]2O)NC(=O)[C@@H](O)CCN)OC[C@]1(C)O,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O
DB12667; CHEMBL1378024,J04AD,CCCC1=CC(=CC=N1)C(N)=S,CCCc1cc(C(N)=S)ccn1
DB12674; CHEMBL4297516,L01XX,[H][C@@]12[C@@H]3SC[C@]4(NCCC5=C4NC4=CC=C(OC)C=C54)C(=O)OC[C@H](N1[C@@H](O)[C@@H]1CC4=CC(C)=C(OC)C(O)=C4[C@@]2([H])N1C)C1=C2OCOC2=C(C)C(OC(C)=O)=C31,COc1ccc2[nH]c3c(c2c1)CCN[C@]31CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4
DB12710; CHEMBL1697766,N05AB,CN1CCN(CCCN2C3=CC=CC=C3SC3=CC=CC=C23)CC1,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1
DB12713; CHEMBL3039507,A10BK,CCOC1=CC=C(CC2=CC(=CC=C2Cl)[C@@H]2O[C@H](SC)[C@@H](O)[C@H](O)[C@H]2O)C=C1,CCOc1ccc(Cc2cc([C@@H]3O[C@H](SC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
DB12789; CHEMBL815,G02AD,[H]\C(CCCC(O)=O)=C(/[H])C[C@@]1([H])[C@@]([H])(O)C[C@@]([H])(O)[C@]1([H])C(\[H])=C(/[H])[C@@]([H])(O)CCCCC,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O
DB12808; CHEMBL3707313,D10AD,CC(C)(C)C1=CC(=CC=C1N1CCCC1)C1=CC(=CC=C1OCCO)C1=CC=C(C=C1)C(O)=O,CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1
DB12825,J01XX,[H][C@@]12C(=O)CC[C@]11CCC(C)[C@@]2(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]1C)OC(=O)CS[C@@H]1CC[C@@H](N)C[C@H]1O,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)C(C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
DB12834; CHEMBL498847,J01RA; P01AB,CC(O)CN1C(C)=NC=C1N(=O)=O,Cc1ncc([N+](=O)[O-])n1CC(C)O
DB12865,H05BX,C[C@@H](NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](C)NC(=O)[C@@H](CSSC[C@H](N)C(O)=O)NC(C)=O)C(=O)N[C@H](CCCNC(N)=N)C(N)=O,CC(=O)N[C@H](CSSC[C@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O
DB12867,N05AD,OC1=NC2=CC=CC=C2N1C1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1,O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1
DB12877; CHEMBL13828,R06AE,O=C1NC2=C(C=CC=C2)N1CCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1
DB12887; CHEMBL3414621,L01XX,CCN(C1CCOCC1)C1=C(C)C(=CC(=C1)C1=CC=C(CN2CCOCC2)C=C1)C(=O)NCC1=C(C)C=C(C)NC1=O,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
DB12924; CHEMBL3990047,D06AX,CNC1=NC=C(C=C1C)C1=CC=C2C(=O)C(=CN(C3CC3)C2=C1C)C(O)=O,CNc1ncc(-c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C)cc1C
DB12941; CHEMBL4297185,L02BB,C[C@@H](CN1C=CC(=N1)C1=CC=C(C#N)C(Cl)=C1)NC(=O)C1=NNC(=C1)C(C)O,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1
DB12942; CHEMBL1661,A06AD,OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO
DB12945,C02DB; C02LG,NNC1=C2C=CC=CC2=C(NN)N=N1,NNc1nnc(NN)c2ccccc12
DB12954; CHEMBL2107553,J04AK,O=C1NOCC1\N=C\C1=CC=C(\C=N\C2CONC2=O)C=C1,O=C1NOCC1/N=C/c1ccc(/C=N/C2CONC2=O)cc1
DB12978; CHEMBL3813873,L01EX,FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1
DB13055; CHEMBL3311228,J02AC,O[C@@](CN1C=NN=N1)(C1=CC=C(F)C=C1F)C(F)(F)C1=CC=C(C=N1)C1=CC=C(OCC(F)(F)F)C=C1,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1
DB13125; CHEMBL2107831,B02BX,CCCCCCO[C@@H](C)C1=C(OC)C(=CC=C1)C1=CSC(NC(=O)C2=CC(Cl)=C(\C=C(/C)C(O)=O)C(Cl)=C2)=N1,CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC
DB13136; CHEMBL24924,B01AA,FC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,O=C1c2ccccc2C(=O)C1c1ccc(F)cc1
DB13142,A12AA,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O[Ca]OC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,O=C(O[Ca]OC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
DB13157,A06AG,[Na+].CCCCCCCCCCCCOC(=O)CS([O-])(=O)=O,CCCCCCCCCCCCOC(=O)CS(=O)(=O)O
DB13158,D07AB; S01BA; S01CA,[H][C@]1(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl
DB13166; CHEMBL331378,C09AA; C09BA; C09BX,C[C@H](CSC(=O)C1=CC=CC=C1)C(=O)N1C[C@H](C[C@H]1C(O)=O)SC1=CC=CC=C1,C[C@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O
DB13167; CHEMBL94081,M01AB,OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1,C=CCOc1ccc(CC(=O)O)cc1Cl
DB13170,A06AX,[H][C@@]12CSSC[C@H](NC(=O)CNC(=O)[C@@]([H])(NC(=O)[C@]([H])(CSSC[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N1)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC2=O)C(C)C)C(C)C)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(O)=O,CC(C)C[C@H](NC(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(N)=O)CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC2=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N1)C(=O)O
DB13178; CHEMBL1222251,A11HA,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
DB13179; CHEMBL564085,J01FA,CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O
DB13211; CHEMBL76725,C02CC,NC(=N)NCC1COC2=C(O1)C=CC=C2,N=C(N)NCC1COc2ccccc2O1
DB13213; CHEMBL1697826,N05AB,CCCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
DB13216; CHEMBL1620875,R05DB,CCN(CC)CCC1=NC(=NO1)C1=CC=CC=C1,CCN(CC)CCc1nc(-c2ccccc2)no1
DB13218; CHEMBL1609,B05CA; J01XX,OC(C(O)=O)C1=CC=CC=C1,O=C(O)C(O)c1ccccc1
DB13219; CHEMBL85231,N06AX,CN(C)CC(OC1=CC=CC=C1)OC1=CC=CC=C1,CN(C)CC(Oc1ccccc1)Oc1ccccc1
DB13221; CHEMBL509282,N05CM,CC(C)C(CC=C)C(=O)NC(N)=O,C=CCC(C(=O)NC(N)=O)C(C)C
DB13222; CHEMBL1788385,P01AA,CC1=C2C=CC=NC2=C(O)C(Br)=C1,Cc1cc(Br)c(O)c2ncccc12
DB13225; CHEMBL1442422,N06AA,CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21
DB13228; CHEMBL1908307,C01DB,CN1C=C(C(=O)C2=C1C=C(F)C=C2)S(C)=O,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21
DB13235,A01AB,OOB=O,O=BOO
DB13245; CHEMBL120563,P03AA,CN(C)C(=S)SSC(=S)N(C)C,CN(C)C(=S)SSC(=S)N(C)C
DB13246; CHEMBL107360,N06AA,C1CN2CCC1C(C2)N1C2=CC=CC=C2CCC2=CC=CC=C12,c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2
DB13247; CHEMBL159776,N06BX,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C
DB13248; CHEMBL1524273,A07AB; G01AE,OC(=O)C1=CC=CC=C1C(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
DB13253; CHEMBL2105233,N05CA,CC(O)CC1(CC=C)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
DB13256; CHEMBL304902,N05AH,CN1CCN(CC1)C1=NC2=CC=CC=C2SC2=C1C=C(Cl)C=C2,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1
DB13258; CHEMBL1788393,P01AC,CCOCCN(CC1=CC=C(OC2=CC=C(C=C2)[N+]([O-])=O)C=C1)C(=O)C(Cl)Cl,CCOCCN(Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1)C(=O)C(Cl)Cl
DB13262; CHEMBL20835,S01EB,CC(=O)OC1CN2CCC1CC2,CC(=O)OC1CN2CCC1CC2
DB13265; CHEMBL127300,C01DX,COC1=CC(=CC(OC)=C1OC)C(=O)OCCCN(C)CCN(C)CCCOC(=O)C1=CC(OC)=C(OC)C(OC)=C1,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
DB13267; CHEMBL2105322,R01AX,OC(=O)CSC(SCC(O)=O)SCC(O)=O,O=C(O)CSC(SCC(=O)O)SCC(=O)O
DB13268; CHEMBL1330792,A07AX; G01AB; P01CD,CC(=O)NC1=CC(=CC=C1O)[As](O)(O)=O,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
DB13269; CHEMBL3184437,R02AA,OCC1=C(Cl)C=C(Cl)C=C1,OCc1ccc(Cl)cc1Cl
DB13270; CHEMBL560976,J01GB; S01AA,NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1,NC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)O1
DB13273; CHEMBL277945,N05AL,CCN1CCCC1CNC(=O)C1=CC(=CC=C1OC)S(=O)(=O)CC,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC
DB13274; CHEMBL373081,S01AA,CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1,CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1
DB13277; CHEMBL232201,C01DX,CCC1=C(C(=O)C2=CC(I)=C(O)C(I)=C2)C2=CC=CC=C2O1,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
DB13278; CHEMBL1697856,N02BE,CCOC1=CC=C(NC(=O)CC(C)O)C=C1,CCOc1ccc(NC(=O)CC(C)O)cc1
DB13279; CHEMBL163672,C01DX,CCOC(=O)COC1=CC2=C(C=C1)C(C)=C(CCN(CC)CC)C(=O)O2,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1
DB13284; CHEMBL1318341,C03BA; G01AE,CC1=CC2=C(C=C1S(N)(=O)=O)S(=O)(=O)CCC2,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2
DB13286; CHEMBL2105456,M01AB,CCCCC(C(O)=O)C(=O)N(NC1=CC=CC=C1)C1=CC=CC=C1,CCCCC(C(=O)O)C(=O)N(Nc1ccccc1)c1ccccc1
DB13288; CHEMBL3989506,D06BB; J05AC,CN(C)CCOCC(=O)NC12CC3CC(CC(C3)C1)C2,CN(C)CCOCC(=O)NC12CC3CC(CC(C3)C1)C2
DB13292; CHEMBL152408,R06AX,CN1CCC(CC1)=C1C2=CC=CC=C2SC2=CC=CC=C12,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1
DB13306; CHEMBL224325,D08AH; G01AC; P01AA; R02AA,CC1=NC2=C(C=C1)C(Cl)=CC(Cl)=C2O,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1
DB13337; CHEMBL1614637,J01CE; J01CR,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C)OC1=CC=CC=C1)C(O)=O,CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
DB13345; CHEMBL601773,C04AE,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)(O[C@@]21O)C(C)C,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
DB13346; CHEMBL94394,M01AB; M02AA,CCCCOC1=CC=C(CC(=O)NO)C=C1,CCCCOc1ccc(CC(=O)NO)cc1
DB13381,B03AB,[Na+].[O-]C(=O)C[N+]12CC[N+]34CC(=O)O[Fe--]13(OC(=O)C2)OC(=O)C4,O=C(O)C[N+]12CC[N+]34CC(=O)O[Fe-2]13(OC(=O)C2)OC(=O)C4
DB13421; CHEMBL318153,D06BB,CCC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
DB13501; CHEMBL1089221,M02AA; S01BC,OC(=O)COC1=NN(CC2=CC=CC=C2)C2=CC=CC=C12,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
DB13520; CHEMBL19215,G02CB,[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@@]1([H])C[C@@H](CNC(=O)OCC1=CC=CC=C1)CN2C,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
