n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
50,20,2,1,None,0.3800865800865799,0.5121951219512195,0.6090146750524109,0.5402298850574713,0.6051453308596166,0.6184281842818428,0.6925576519916143,0.6077586206896551,"[246, 159, 116, 72]",0.46691061608205314,0.5720081135902636,0.5194593648361584
500,40,5,1,None,0.3558441558441558,0.4784722222222222,0.6701149425287357,0.5530973451327434,0.5797835497835497,0.5835416666666667,0.7454022988505747,0.5973451327433629,"[240, 145, 113, 71]",0.4410142765206846,0.5743703199455413,0.5076922982331129
100,20,5,2,None,0.3593073593073592,0.4597222222222221,0.5265700483091788,0.5340909090909091,0.5794495980210266,0.5600694444444445,0.6140096618357487,0.6022727272727273,"[240, 138, 88, 55]",0.4435663635647824,0.5661363636363637,0.504851363600573
50,None,5,1,balanced,0.3428571428571428,0.4344262295081968,0.6147342995169082,0.5503472222222222,0.5911317254174397,0.5408469945355191,0.677536231884058,0.5711805555555555,"[244, 138, 96, 59]",0.43399603852506,0.5605703904368765,0.49728321448096824
500,40,2,2,None,0.3696969696969692,0.4639830508474576,0.5761904761904763,0.4966329966329967,0.580748299319728,0.5727401129943503,0.674404761904762,0.5791245791245792,"[236, 140, 99, 61]",0.45179011020233734,0.5347159650759025,0.4932530376391199
50,20,5,1,None,0.3705627705627705,0.5318118948824344,0.6143162393162394,0.4970501474926253,0.5907668521954236,0.6181818181818183,0.6826923076923077,0.5663716814159292,"[241, 156, 113, 66]",0.4554446182113489,0.5294514747216869,0.49244804646651785
100,20,5,1,None,0.339393939393939,0.5007122507122508,0.6423611111111112,0.5238095238095238,0.573982683982684,0.5922364672364672,0.696064814814815,0.5936507936507937,"[234, 144, 105, 66]",0.4265627984666799,0.5565476190476191,0.4915552087571495
500,None,5,1,None,0.3549783549783547,0.4986449864498646,0.5688888888888889,0.494949494949495,0.5988002473716758,0.586720867208672,0.6338888888888888,0.5740740740740741,"[246, 150, 99, 59]",0.4457242514120081,0.5315835520559931,0.4886539017340006
50,40,5,1,balanced,0.302164502164502,0.5007680491551461,0.6135802469135803,0.5634057971014492,0.5320408163265307,0.5910138248847926,0.6530864197530865,0.6231884057971014,"[217, 135, 92, 61]",0.385429929138553,0.5917911273370947,0.48861052823782386
500,20,2,2,None,0.3419913419913418,0.4831223628691984,0.6252955082742316,0.5115511551155116,0.5794619666048239,0.5777074542897328,0.6767139479905437,0.5808580858085809,"[237, 141, 101, 60]",0.4301270042516627,0.5440060622376437,0.4870665332446532
