#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
27,128,64,2,2,2,0.2,0.0001,0.0001,0.25541125541125553,0.5314009661835749,0.6666666666666665,0.38281249999999994,0.3234632034632035,0.6014492753623188,0.717871485943775,0.5026041666666667,"[138, 83, 64, 37]"
35,64,64,4,4,4,0.2,0.0001,0.001,0.1645021645021645,0.5075757575757576,0.4090909090909091,0.39285714285714285,0.2592640692640693,0.5840909090909091,0.3939393939393939,0.35714285714285715,"[110, 66, 28, 11]"
51,128,256,4,4,2,0.2,1e-05,0.001,0.15844155844155844,0.19672131147540986,0.4642857142857143,0.34615384615384615,0.1461038961038961,0.45081967213114754,0.4642857142857143,0.4230769230769231,"[61, 28, 13, 6]"
26,128,64,4,4,2,0.2,0.0001,0.0001,0.2536796536796536,0.488262910798122,0.6995884773662552,0.34444444444444433,0.33266233766233766,0.5704225352112676,0.6748971193415637,0.4358333333333333,"[142, 81, 60, 29]"
28,64,256,2,4,2,0.0,0.0001,0.0001,0.2519480519480518,0.5331262939958593,0.7130584192439863,0.3787878787878788,0.37474025974025976,0.6024844720496895,0.7603092783505154,0.43614718614718617,"[161, 97, 77, 38]"
15,128,64,4,2,2,0.0,1e-05,0.0001,0.28398268398268395,0.5752688172043012,0.6245954692556633,0.46803652968036524,0.36746753246753244,0.6516129032258063,0.6828478964401294,0.6063926940639269,"[155, 103, 73, 49]"
15,64,256,4,4,2,0.0,0.0001,0.001,0.14545454545454542,0.1320754716981132,0.7857142857142857,0.5,0.2517316017316017,0.12578616352201258,0.6785714285714286,0.5757575757575758,"[106, 14, 11, 7]"
10,128,128,2,3,4,0.0,0.0001,0.001,0.34372294372294365,0.6188034188034189,0.8051470588235295,0.48373983739837406,0.472056277056277,0.6790598290598292,0.8707107843137254,0.61869918699187,"[195, 136, 123, 82]"
26,128,128,4,3,4,0.0,0.0001,0.001,0.29004329004328994,0.5121042830540038,0.811111111111111,0.47407407407407404,0.4282900432900433,0.5782122905027933,0.8055555555555557,0.6166666666666667,"[179, 105, 90, 56]"
23,128,64,4,2,2,0.0,1e-05,0.001,0.24935064935064932,0.5049382716049381,0.7540650406504066,0.47584541062801927,0.32127705627705627,0.5962962962962963,0.7977642276422763,0.5289855072463769,"[135, 82, 69, 40]"
