#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
43,128,64,2,2,128,64,0.2,0.0001,0.001,0.48616874135546306,0.7039548022598872,0.7021857923497268,0.575039494470774,0.6020055325034578,0.8219209039548022,0.8463114754098361,0.7535545023696683,"[295, 244, 211, 161]",0.11479944674965442,0.31879322268326415,0.16605099603024917
63,128,128,4,2,128,64,0.1,1e-05,0.001,0.44536652835408014,0.6459899749373436,0.665811965811966,0.44408602150537657,0.537655601659751,0.7261904761904762,0.7871794871794872,0.6870967741935484,"[266, 195, 155, 108]",0.07538035961272474,0.21282849239280774,0.10993874728314562
33,64,128,2,3,64,64,0.1,0.0001,0.001,0.4391424619640386,0.7298850574712648,0.6652421652421651,0.5652557319223985,0.5867565698478563,0.8022988505747126,0.7948717948717948,0.7592592592592593,"[290, 234, 189, 144]",0.10165975103734452,0.28561549100968187,0.14821181584667062
58,64,128,3,4,64,64,0.2,0.0001,0.001,0.38174273858921165,0.7550125313283207,0.6990740740740742,0.4862745098039215,0.5328146611341633,0.8070175438596491,0.7800925925925926,0.6970588235294117,"[266, 216, 170, 119]",0.08367911479944677,0.23789764868603042,0.12248567476783244
49,64,128,4,4,64,64,0.2,0.0001,0.001,0.4239280774550486,0.6755050505050507,0.6599664991624791,0.3965141612200436,0.5311721991701245,0.7481060606060606,0.7587939698492462,0.5947712418300654,"[264, 199, 153, 92]",0.06362378976486852,0.1770401106500691,0.09212606204307451
48,64,64,3,3,32,64,0.1,0.0001,0.001,0.4840940525587824,0.7198697068403909,0.6870748299319728,0.5785714285714283,0.6253457814661133,0.7916395222584147,0.8469387755102041,0.7690476190476191,"[307, 245, 210, 163]",0.11549100968188124,0.3271092669432919,0.1687512349338075
49,64,64,3,3,128,128,0.2,1e-05,0.001,0.47026279391424625,0.669621749408984,0.6741405082212256,0.5247252747252747,0.5668741355463347,0.7854609929078015,0.804932735426009,0.7527472527472527,"[282, 223, 182, 137]",0.09612724757952984,0.27506915629322265,0.14132582493578344
20,128,64,3,2,32,128,0.2,1e-05,0.001,0.4930843706777314,0.7427427427427427,0.8189448441247003,0.6511627906976747,0.6796334716459198,0.8307307307307307,0.9100719424460432,0.8585271317829457,"[333, 278, 258, 224]",0.15975103734439824,0.44189142461964037,0.23058369707747303
44,64,128,4,3,32,64,0.1,1e-05,0.001,0.46058091286307024,0.7443693693693694,0.6763485477178425,0.5541666666666665,0.5980290456431535,0.8056306306306307,0.8143153526970954,0.7533333333333333,"[296, 241, 200, 152]",0.10650069156293239,0.30019017980636237,0.1548130983815631
22,64,64,2,2,32,128,0.1,0.0001,0.001,0.48928077455048413,0.7747747747747747,0.7609195402298853,0.6750972762645917,0.6780428769017981,0.8633633633633634,0.8724137931034482,0.8638132295719845,"[333, 290, 257, 223]",0.15836791147994467,0.44787344398340245,0.231201163981247
