#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1
38,64,128,3,3,32,64,0.2,1e-05,0.001,0.3789764868603042,0.7431372549019608,0.6939102564102563,0.5941176470588234,0.508402489626556,0.8107843137254902,0.8076923076923077,0.7647058823529411,"[255, 208, 170, 131]",0.0912863070539419,0.2548409405255878,0.1330567081604425,0.43425096725301426
53,64,128,3,3,64,64,0.2,1e-05,0.001,0.4280774550484091,0.6512915129151292,0.6437908496732024,0.6024096385542167,0.5460926694329185,0.7481549815498155,0.8063725490196079,0.7831325301204819,"[271, 204, 166, 130]",0.0899031811894883,0.2579529737206085,0.1324343015214384,0.4799366235459147
30,128,128,2,3,32,64,0.1,1e-05,0.001,0.3015214384508987,0.7328042328042329,0.7663316582914573,0.6117647058823529,0.5018326417704011,0.7847222222222222,0.8517587939698492,0.7441176470588236,"[252, 199, 170, 127]",0.0885200553250346,0.2506915629322268,0.1297372060857538,0.3767038812239396
53,64,128,4,3,64,64,0.2,1e-05,0.001,0.4260027662517289,0.6660353535353535,0.7047377326565146,0.5118343195266272,0.5344513600737667,0.7426136363636364,0.8460236886632825,0.7396449704142012,"[264, 197, 169, 126]",0.0885200553250346,0.2492623328722913,0.1289419087136929,0.4741043878680032
46,64,128,3,2,128,64,0.1,1e-05,0.001,0.425311203319502,0.6893081761006292,0.6567164179104477,0.4917695473251028,0.529149377593361,0.7537735849056604,0.8018242122719734,0.7376543209876543,"[265, 201, 162, 121]",0.0843706777316736,0.2376210235131396,0.1232019363762102,0.4715818819982132
51,64,128,4,4,32,64,0.2,1e-05,0.001,0.3852005532503457,0.6607611548556432,0.7003454231433507,0.5677083333333333,0.5097856154910096,0.7549212598425197,0.8246977547495682,0.753125,"[254, 193, 160, 121]",0.0843706777316736,0.2371023513139695,0.122964829085161,0.4388217561001311
62,128,128,4,3,64,64,0.2,1e-05,0.001,0.4094052558782849,0.6535580524344569,0.6641025641025644,0.5658174097664542,0.5353734439834024,0.7275280898876404,0.7948717948717948,0.7547770700636943,"[267, 195, 157, 119]",0.0822959889349931,0.2330567081604425,0.1206085753803595,0.46399162440167513
50,128,64,2,4,128,128,0.2,0.0001,0.001,0.4502074688796681,0.6280637254901961,0.67,0.482828282828283,0.5452282157676348,0.7297794117647058,0.8158333333333333,0.6848484848484848,"[272, 200, 165, 114]",0.0795297372060857,0.2230982019363762,0.1159405255878284,0.49318267120290443
39,128,128,3,4,32,64,0.2,0.0001,0.001,0.3374827109266943,0.6634366925064601,0.7158469945355191,0.5629139072847682,0.5143499308437067,0.7073643410852714,0.8142076502732241,0.7218543046357616,"[258, 183, 151, 110]",0.0760719225449515,0.2143845089903181,0.1112724757952973,0.40755472498758494
41,64,64,4,3,64,64,0.2,0.0001,0.001,0.40387275242047,0.6993464052287579,0.6733333333333335,0.4596602972399153,0.5132434301521439,0.7813725490196078,0.7775,0.6847133757961783,"[255, 200, 157, 108]",0.0753803596127247,0.2133471645919779,0.1104426002766251,0.45203659195242146
48,128,64,4,4,32,64,0.1,1e-05,0.001,0.4080221300138314,0.6388888888888888,0.6574074074074076,0.5199530516431926,0.5026394651913324,0.710515873015873,0.7805555555555556,0.7253521126760564,"[252, 180, 142, 104]",0.0719225449515905,0.2042415859843246,0.1051867219917012,0.4504154480571371
46,64,128,4,3,128,64,0.2,0.0001,0.001,0.3782849239280771,0.6756569847856153,0.7071823204419889,0.4935483870967743,0.4870331950207469,0.7468879668049793,0.8480662983425414,0.6580645161290323,"[241, 181, 155, 103]",0.0712309820193636,0.2019363762102351,0.1044260027662517,0.42582562665550194
