#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
28,32,64,3,2,32,64,0.0,0.0001,0.001,64.15441176470588,82.23495702005731,81.8815331010453,73.19148936170212,0.5322997416020673,0.7326923076923075,0.7934272300469483,0.5547008547008547,0.6413149583692218,0.809241452991453,0.873686563827409,0.7535897435897435,"[260, 213, 195, 152]"
22,32,32,3,2,32,128,0.0,0.0001,0.001,67.09558823529412,82.1917808219178,85.66666666666667,77.431906614786,0.568906115417743,0.76,0.7921985815602839,0.5625,0.6785673270169394,0.8306565656565656,0.8872948328267478,0.7820987654320987,"[275, 235, 216, 175]"
91,64,64,2,4,128,128,0.2,1e-05,0.0001,47.794117647058826,72.6923076923077,65.07936507936508,62.601626016260155,0.334194659776055,0.6929429429429429,0.5828282828282829,0.5758928571428571,0.5319552110249784,0.7286036036036034,0.6616161616161617,0.6607142857142857,"[222, 165, 112, 75]"
90,128,64,3,3,128,64,0.0,0.0001,0.0001,43.38235294117647,60.16949152542372,69.71830985915493,55.55555555555556,0.27131782945736405,0.5925925925925926,0.6574803149606301,0.47407407407407415,0.5031007751937984,0.6111111111111112,0.7007874015748031,0.5592592592592592,"[207, 127, 90, 53]"
49,64,64,3,3,32,64,0.2,1e-05,0.001,63.78676470588235,77.23342939481267,77.98507462686567,66.98564593301435,0.5271317829457363,0.7128205128205128,0.6843800322061194,0.535645472061657,0.6333907550961814,0.7731517094017094,0.8072463768115942,0.6922928709055876,"[260, 207, 173, 127]"
141,32,64,2,3,128,32,0.2,1e-05,0.0001,38.05147058823529,54.106280193236714,55.35714285714286,51.61290322580645,0.25322997416020676,0.5355029585798816,0.5049019607843137,0.48333333333333334,0.41300602928509905,0.5867850098619329,0.5686274509803921,0.5222222222222223,"[169, 102, 60, 32]"
64,64,128,2,2,128,128,0.1,1e-05,0.0001,64.88970588235294,84.13597733711048,82.15488215488216,76.22950819672131,0.508182601205857,0.7610899873257284,0.7971976401179942,0.6130081300813007,0.6491099626758541,0.8379700042247571,0.8655077960387695,0.7785365853658537,"[263, 226, 205, 165]"
77,64,32,2,3,128,32,0.2,1e-05,0.001,51.83823529411765,56.73758865248227,55.00000000000001,44.31818181818182,0.44013781223083565,0.5063492063492064,0.5351562499999999,0.3127572016460905,0.5038041917886878,0.5836904761904762,0.5873883928571428,0.4279835390946502,"[210, 128, 81, 36]"
57,128,32,4,3,128,64,0.1,1e-05,0.001,52.02205882352941,62.544169611307424,63.84180790960452,56.63716814159292,0.4539190353143841,0.5449010654490106,0.6277372262773723,0.3705501618122977,0.5204708584553545,0.6072425164890917,0.7140771637122002,0.5598705501618123,"[219, 137, 103, 60]"
79,32,128,2,3,64,128,0.0,0.0001,0.0001,54.96323529411765,72.24080267558529,77.31481481481481,72.45508982035929,0.30921619293712294,0.710267229254571,0.803201506591337,0.6840958605664488,0.5684898076370944,0.7352906704172528,0.8232176486413776,0.7342047930283224,"[237, 177, 153, 116]"
130,32,64,2,3,64,64,0.2,0.0001,0.0001,48.161764705882355,65.2671755725191,76.0233918128655,58.46153846153847,0.2885443583118001,0.6620370370370371,0.6823266219239373,0.559228650137741,0.5239879414298019,0.6756687242798355,0.7835570469798657,0.606060606060606,"[216, 149, 121, 75]"
156,32,32,3,2,128,32,0.2,1e-05,0.0001,57.35294117647059,67.62820512820514,66.82464454976304,60.28368794326241,0.45305770887166225,0.6231292517006802,0.5809248554913294,0.5442708333333334,0.5924777490668963,0.6836167800453515,0.7058904486650152,0.6243489583333334,"[245, 173, 128, 83]"
174,32,128,4,2,32,32,0.1,1e-05,0.0001,51.654411764705884,72.59786476868328,78.92156862745098,69.56521739130434,0.3720930232558139,0.6786786786786786,0.7682445759368839,0.6126126126126127,0.5292563881711168,0.7479354354354354,0.8385178923640463,0.7094594594594593,"[222, 169, 148, 110]"
33,64,32,3,3,64,128,0.0,0.0001,0.001,65.625,80.95238095238095,82.69896193771626,81.58995815899581,0.5641688199827736,0.7301886792452827,0.7544642857142857,0.6066666666666664,0.6563451047947171,0.8192348008385745,0.8589392006802721,0.8495833333333332,"[265, 224, 200, 177]"
56,32,64,2,4,32,64,0.2,1e-05,0.001,58.82352941176471,79.6875,78.43137254901961,71.0,0.45822566752799315,0.7212765957446808,0.7464912280701753,0.5654396728016359,0.5678868791271893,0.7870330969267141,0.8164285714285715,0.7306748466257668,"[235, 190, 163, 126]"
122,64,32,4,4,32,32,0.0,0.0001,0.0001,33.088235294117645,15.555555555555555,50.0,14.285714285714285,0.17054263565891492,0.16013071895424835,0.5,0.14285714285714285,0.3683893195521103,0.16666666666666666,0.5,0.14285714285714285,"[153, 28, 14, 2]"
103,32,128,4,2,64,64,0.2,0.0001,0.0001,61.21323529411765,83.48348348348348,78.41726618705036,71.55963302752293,0.4509043927648575,0.7314814814814815,0.7948113207547172,0.5891265597147948,0.6094889463106516,0.8257826278659612,0.8447495507637016,0.7290552584670232,"[252, 212, 187, 143]"
52,128,128,3,3,128,128,0.2,0.0001,0.001,65.44117647058823,80.33707865168539,80.06993006993007,77.29257641921397,0.5538329026701115,0.7345679012345682,0.7345132743362831,0.6069023569023567,0.6595320126327878,0.8138168724279835,0.8368836915297093,0.7836700336700335,"[270, 226, 198, 161]"
