#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
15,64,128,4,3,4,0.0,1e-05,0.001,0.499309868875086,0.6992753623188411,0.796969696969697,0.6384408602150539,0.6511387163561078,0.84472049689441,0.8963636363636364,0.8051075268817205,"[322, 275, 248, 203]",0.5652055924218882
33,64,128,3,4,2,0.1,0.0001,0.0001,0.520358868184955,0.756535947712418,0.7112403100775192,0.4947916666666663,0.6169772256728779,0.8366013071895424,0.8598191214470283,0.7723214285714286,"[306, 258, 224, 175]",0.5645641118414441
20,128,128,3,3,2,0.0,1e-05,0.001,0.4927536231884058,0.7456410256410257,0.7936221419975931,0.6347941567065074,0.6576949620427882,0.8448717948717949,0.898315282791817,0.8260292164674634,"[325, 277, 251, 211]",0.5634003634055798
23,64,128,4,4,4,0.1,0.0001,0.001,0.503105590062112,0.7322580645161291,0.768796992481203,0.6181434599156118,0.6276742581090407,0.8489247311827955,0.8834586466165414,0.859353023909986,"[310, 266, 237, 207]",0.5585285738925734
20,128,128,4,3,4,0.0,1e-05,0.001,0.4934437543133196,0.7476489028213165,0.7738970588235293,0.5975609756097562,0.6402691511387165,0.8479623824451411,0.8970588235294118,0.7818428184281841,"[319, 272, 246, 195]",0.5573488882230191
12,64,128,3,3,2,0.0,1e-05,0.001,0.4851621808143548,0.7160493827160493,0.7820987654320986,0.6120218579234972,0.6540717736369911,0.8281893004115226,0.9,0.7732240437158471,"[324, 270, 244, 192]",0.5570952074715187
20,64,256,4,4,2,0.1,0.0001,0.001,0.4989648033126294,0.7740021574973032,0.818070818070818,0.573252688172043,0.6266390614216701,0.8740560949298812,0.905982905982906,0.8239247311827956,"[309, 273, 248, 206]",0.5555610562941354
15,64,256,3,3,2,0.0,1e-05,0.001,0.4851621808143552,0.7094943240454079,0.8031980319803192,0.6253387533875342,0.6485507246376813,0.8297213622291022,0.8997539975399753,0.8089430894308943,"[323, 271, 246, 202]",0.5550828299136084
16,64,256,4,4,2,0.0,1e-05,0.001,0.4789510006901309,0.7227366255144031,0.8289473684210525,0.6008064516129032,0.6509661835748792,0.8143004115226337,0.9285714285714286,0.8098118279569891,"[324, 266, 248, 203]",0.551865055918114
16,64,128,4,4,4,0.1,1e-05,0.001,0.4803312629399583,0.7447589098532497,0.7827715355805241,0.5444915254237286,0.6457902001380262,0.8299266247379454,0.8776529338327091,0.7612994350282487,"[318, 267, 236, 183]",0.5509054442115104
23,64,128,4,3,2,0.0,0.0001,0.0001,0.4989648033126291,0.7535753575357534,0.7680878552971577,0.5480349344978162,0.613008971704624,0.8432343234323432,0.8804909560723514,0.799854439592431,"[303, 258, 229, 185]",0.5501386954754917
30,64,128,3,4,4,0.1,0.0001,0.0001,0.4899930986887508,0.7598684210526315,0.7436386768447837,0.5342066957787478,0.6149068322981368,0.8552631578947368,0.86323155216285,0.75764192139738,"[304, 262, 229, 178]",0.5453889455736127
16,128,256,3,4,4,0.0,1e-05,0.001,0.4761904761904766,0.7190476190476192,0.7818066157760812,0.6309523809523809,0.6347481021394066,0.8285714285714286,0.9013994910941476,0.8256302521008403,"[315, 262, 238, 199]",0.5441542978427591
15,64,128,4,3,2,0.0,0.0001,0.001,0.4554865424430643,0.7353846153846152,0.8283950617283947,0.612685560053981,0.6563146997929606,0.8235897435897435,0.9055555555555556,0.800944669365722,"[325, 270, 247, 200]",0.5377625100724447
