#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
22,64,256,4,3,4,0.1,1e-05,0.001,0.4975845410628017,0.7742424242424241,0.7952380952380953,0.5513833992094859,0.6639061421670118,0.8373160173160175,0.8877380952380952,0.7938076416337285,"[330, 280, 253, 205]"
19,128,256,3,4,2,0.0,0.0001,0.001,0.5024154589371979,0.8030785562632697,0.7293144208037824,0.6268260292164675,0.6340579710144928,0.8824764937822265,0.8752364066193852,0.8426294820717132,"[314, 282, 251, 216]"
13,128,256,4,4,4,0.0,1e-05,0.0001,0.5362318840579706,0.7797979797979793,0.7770034843205573,0.6145038167938931,0.6626121463077985,0.8607575757575758,0.8948896631823459,0.8543256997455471,"[330, 287, 262, 227]"
14,64,128,4,3,2,0.1,1e-05,0.001,0.5010351966873705,0.705944798301486,0.7184594953519255,0.5297339593114239,0.6287094547964114,0.7876251137397635,0.8272908366533863,0.7237871674491393,"[314, 251, 213, 158]"
21,128,128,4,4,2,0.0,1e-05,0.001,0.5452035886818494,0.7507374631268433,0.7413793103448277,0.5449735449735448,0.6793478260869567,0.8461160275319568,0.8594827586206897,0.7526455026455026,"[339, 290, 252, 193]"
18,128,256,4,4,4,0.0,0.0001,0.001,0.5369220151828846,0.7265469061876249,0.7956989247311824,0.5600539811066125,0.6658040027605244,0.8273453093812376,0.8715651135005973,0.8259109311740891,"[334, 279, 247, 206]"
16,128,128,3,3,4,0.0,0.0001,0.001,0.5100069013112492,0.7811860940695295,0.7485065710872159,0.5886666666666666,0.6501897860593513,0.8491820040899797,0.8888888888888888,0.8186666666666667,"[326, 279, 250, 209]"
17,128,256,3,3,4,0.0,1e-05,0.0001,0.5590062111801242,0.7350049164208455,0.7323943661971832,0.6068548387096774,0.6802104899930987,0.8284169124877091,0.8571009389671361,0.8629032258064516,"[339, 284, 248, 215]"
18,128,128,4,3,4,0.0,0.0001,0.001,0.5162180814354723,0.7715472481827624,0.7608187134502923,0.5862516212710764,0.6442374051069704,0.8793873312564903,0.8839181286549709,0.7931258106355383,"[321, 285, 257, 208]"
10,64,256,3,3,4,0.0,1e-05,0.001,0.5355417529330573,0.7448377581120944,0.7677119628339141,0.5956175298804781,0.6801242236024846,0.8362831858407079,0.860046457607433,0.8173970783532536,"[339, 287, 251, 207]"
31,64,256,3,3,4,0.1,0.0001,0.0001,0.5569358178053825,0.7578616352201256,0.7292441140024782,0.4985443959243083,0.6369047619047619,0.8390985324947591,0.8351920693928129,0.7882096069868996,"[318, 269, 229, 183]"
15,128,256,4,4,2,0.1,1e-05,0.0001,0.567287784679089,0.7693059628543497,0.7073310423825888,0.5616531165311653,0.6810731538992408,0.8514173998044967,0.8313287514318441,0.8184281842818428,"[341, 291, 246, 205]"
21,128,256,4,4,2,0.0,0.0001,0.001,0.5334713595583158,0.7378167641325533,0.7808535178777392,0.5920205920205919,0.6850414078674949,0.8378654970760234,0.8846597462514417,0.8114543114543115,"[342, 289, 259, 214]"
16,128,256,3,4,4,0.0,1e-05,0.001,0.5093167701863354,0.7614583333333331,0.7395061728395059,0.5620641562064157,0.6465665976535542,0.8360937500000001,0.8635185185185186,0.7726638772663876,"[320, 270, 239, 188]"
15,128,128,4,3,4,0.1,0.0001,0.0001,0.5238095238095235,0.767087276550999,0.7245024875621889,0.524216524216524,0.6324189095928228,0.838590956887487,0.8569651741293532,0.7948717948717948,"[317, 268, 234, 189]"
23,64,256,4,3,2,0.1,1e-05,0.0001,0.5403726708074533,0.7648619957537154,0.679012345679012,0.4694940476190473,0.6286231884057971,0.8529723991507432,0.8135802469135802,0.7321428571428571,"[314, 270, 224, 166]"
19,64,128,4,4,2,0.1,1e-05,0.001,0.49758454106280176,0.7339642481598317,0.7654088050314464,0.5786838340486408,0.6380262249827467,0.8225552050473186,0.860062893081761,0.8040057224606582,"[317, 265, 233, 189]"
18,128,128,3,4,2,0.1,0.0001,0.0001,0.5383022774327121,0.7687499999999996,0.7268856447688562,0.5448179271708682,0.6362146307798481,0.8484375,0.8518856447688564,0.8053221288515405,"[320, 274, 238, 194]"
