#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
43,32,64,4,3,4,0.1,1e-05,0.0001,24.080882352941178,66.41221374045801,72.41379310344827,39.682539682539684,0.21102497846683893,0.5353982300884955,0.5865800865800866,0.32727272727272727,0.2762704565030146,0.6666666666666667,0.7077922077922078,0.38181818181818183,"[113, 77, 55, 24]"
30,64,256,4,2,2,0.1,0.0001,0.001,29.22794117647059,65.40880503144653,52.88461538461539,45.45454545454545,0.21188630490956065,0.48024691358024696,0.5439560439560439,0.39,0.30973298880275624,0.6648148148148149,0.5293040293040293,0.45666666666666667,"[135, 91, 50, 24]"
47,32,128,2,2,4,0.0,1e-05,0.0001,29.77941176470588,55.55555555555556,68.88888888888889,45.16129032258064,0.2127476313522826,0.5789473684210527,0.6333333333333332,0.3454545454545454,0.31640826873385014,0.5756056808688388,0.675,0.45454545454545453,"[133, 80, 55, 27]"
14,128,64,3,3,4,0.2,0.0001,0.0001,27.573529411764707,64.66666666666666,61.855670103092784,40.0,0.2179155900086133,0.5392953929539295,0.5333333333333333,0.3397435897435897,0.28863049095607235,0.6391147244805782,0.6241071428571429,0.40064102564102566,"[123, 80, 52, 24]"
31,32,256,3,3,4,0.1,0.0001,0.001,27.573529411764707,64.66666666666666,51.546391752577314,62.0,0.21791559000861335,0.5522598870056497,0.471861471861472,0.5398550724637681,0.27835199540625893,0.637358757062147,0.5340136054421769,0.6413043478260869,"[118, 77, 46, 31]"
40,64,64,3,3,2,0.2,0.0001,0.0001,27.205882352941174,62.16216216216216,64.13043478260869,37.28813559322034,0.21963824289405673,0.586021505376344,0.5769230769230769,0.30448717948717946,0.29444444444444445,0.6129032258064516,0.6410256410256411,0.3910256410256411,"[124, 78, 52, 22]"
53,32,256,4,2,2,0.2,0.0001,0.0001,24.816176470588236,60.74074074074074,65.85365853658537,31.48148148148148,0.21963824289405684,0.5652173913043478,0.525462962962963,0.24305555555555558,0.27321274763135234,0.6057971014492755,0.6527777777777778,0.3229166666666667,"[115, 72, 48, 17]"
34,64,64,3,4,4,0.0,0.0001,0.0001,37.68382352941176,62.4390243902439,61.71875,64.55696202531645,0.2196382428940569,0.5441501103752759,0.6444444444444444,0.6322751322751323,0.362058570198105,0.5779985283296541,0.6414021164021164,0.7089947089947091,"[151, 90, 63, 48]"
53,32,64,3,4,2,0.0,1e-05,0.0001,32.35294117647059,67.04545454545455,59.32203389830508,45.714285714285715,0.22222222222222218,0.606516290726817,0.6092592592592592,0.33870967741935476,0.3140396210163652,0.6616541353383457,0.6314814814814814,0.4811827956989247,"[133, 90, 62, 32]"
36,64,256,3,2,2,0.2,1e-05,0.0001,31.985294117647058,57.47126436781609,57.99999999999999,41.37931034482759,0.22480620155038752,0.5109489051094891,0.54,0.375,0.3297588285960379,0.5308191403081914,0.615,0.4583333333333333,"[137, 75, 48, 24]"
60,32,128,3,2,2,0.0,1e-05,0.0001,33.82352941176471,59.78260869565217,73.63636363636363,51.85185185185185,0.22480620155038764,0.5608108108108109,0.7101449275362318,0.43427230046948356,0.3497846683893196,0.6006006006006006,0.7489130434782609,0.5352112676056338,"[148, 92, 71, 41]"
28,64,64,4,2,2,0.0,1e-05,0.0001,33.82352941176471,64.13043478260869,66.94915254237289,49.36708860759494,0.22652885443583123,0.5952380952380953,0.6259259259259259,0.4253731343283582,0.3333476887740453,0.6245039682539683,0.6902116402116403,0.5024875621890548,"[140, 90, 67, 38]"
