#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
19,64,256,4,3,4,0.1,1e-05,0.001,0.5117565698478562,0.6982401656314698,0.7849673202614381,0.6084425036390102,0.6526625172890734,0.782608695652174,0.8862745098039215,0.8471615720524017,"[322, 255, 229, 196]",0.13900414937759362,0.38986860304287696,0.20239083185141274
23,128,128,4,4,4,0.1,0.0001,0.001,0.5124481327800832,0.6859374999999999,0.8065134099616859,0.6132208157524611,0.6479944674965422,0.8096354166666668,0.896551724137931,0.8052039381153304,"[320, 261, 237, 193]",0.13762102351314,0.3834716459197788,0.19959494171112427
18,64,256,3,3,4,0.1,0.0001,0.001,0.5200553250345781,0.7573904179408767,0.7999999999999998,0.6009114583333336,0.6654564315352698,0.8470948012232415,0.9041666666666667,0.8125,"[327, 280, 256, 209]",0.1493775933609959,0.4161479944674965,0.21684449713495357
14,128,256,4,3,4,0.0,0.0001,0.0001,0.5553250345781465,0.6915204678362571,0.7937956204379562,0.6017060367454069,0.6974412171507607,0.7926413255360625,0.9124087591240876,0.8556430446194226,"[342, 274, 254, 220]",0.15560165975103737,0.43326417704011067,0.2257360205492986
17,64,128,4,3,4,0.1,1e-05,0.001,0.5034578146611342,0.7233009708737861,0.7822045152722441,0.5695067264573987,0.6262102351313971,0.8050161812297735,0.8771580345285525,0.828101644245142,"[309, 251, 223, 187]",0.13347164591977898,0.36894882434301524,0.1929559375617467
14,64,128,3,4,4,0.1,0.0001,0.001,0.536652835408022,0.7207070707070705,0.7886473429951689,0.5486968449931411,0.6663208852005534,0.8285353535353535,0.8683574879227053,0.821673525377229,"[330, 276, 243, 201]",0.14315352697095457,0.39868603042876893,0.20754791543173287
35,64,128,3,4,4,0.1,1e-05,0.0001,0.5560165975103736,0.7198142414860679,0.7601010101010095,0.5196078431372545,0.6559474412171507,0.8083075335397318,0.8888888888888888,0.7927170868347339,"[323, 264, 238, 191]",0.13450899031811928,0.37482710926694335,0.19509978265164987
15,128,256,3,3,4,0.0,1e-05,0.0001,0.5667358229598896,0.7361516034985419,0.798830409356725,0.5864661654135338,0.6976141078838174,0.8250728862973761,0.9198830409356724,0.8364661654135338,"[343, 285, 266, 226]",0.1604426002766251,0.4486514522821577,0.23344200750839764
15,128,256,3,3,4,0.0,0.0001,0.0001,0.5560165975103737,0.7397058823529409,0.8180751173708918,0.5432569974554705,0.6905255878284924,0.8267156862745099,0.9172535211267606,0.8225190839694656,"[340, 284, 262, 218]",0.15491009681881054,0.4344744121715077,0.22536060067180402
27,64,128,3,3,2,0.0,1e-05,0.0001,0.5311203319502074,0.7096114519427403,0.7837670384138784,0.548409405255878,0.6626901798063626,0.8190184049079755,0.8816604708798017,0.8132780082987552,"[326, 269, 241, 199]",0.14107883817427405,0.39470954356846477,0.2053645524599881
19,128,128,4,4,4,0.1,0.0001,0.0001,0.5629322268326418,0.7614770459081834,0.740543735224586,0.5202429149797566,0.6810165975103735,0.8353293413173652,0.8652482269503546,0.7975708502024291,"[334, 282, 247, 199]",0.14177040110650088,0.3955739972337483,0.20588816439438848
27,64,256,3,4,4,0.0,1e-05,0.0001,0.549792531120332,0.749001996007984,0.7984901277584205,0.5760456273764261,0.6765214384508991,0.8532934131736527,0.897793263646922,0.8022813688212928,"[334, 287, 263, 212]",0.15006915629322276,0.41891424619640394,0.21822762299940723
